probe	chr	start	end	info	gene	IFAh2	IFAh2cis	IFAh2trans	IFBh2	IFBh2cis	IFBh2trans	rho	
10002669401	1	1344095	1344155	M32220	BC094869	0.734	0.002	0.732	0.108	-0.036	0.143	-0.094	
10002669411	1	203893657	203893717	NM_033102	SLC45A3	0.241	0.094	0.147	0.632	0.037	0.595	0.026	
10002669495	1	1838444	1838500	NM_138705	CALML6	0.220	0.051	0.168	0.053	0.043	0.010	-0.050	
10002669589	1	38100345	38100405	AK022846	INPP5B	0.082	0.167	-0.085	0.496	0.290	0.206	0.205	
10002669706	1	35353567	35353627	NM_024772	ZMYM1	0.453	0.291	0.162	0.105	0.096	0.009	0.067	
10002669833	1	145094476	145094536	AK023717	PRKAB2	0.231	0.444	-0.214	0.193	0.012	0.181	0.026	
10002669873	1	26480375	26480435	NM_031286	SH3BGRL3	0.247	-0.005	0.252	0.144	0.087	0.058	-0.020	
10002669895	1	226315517	226315577	NM_033131	WNT3A	-0.029	0.073	-0.102	-0.119	0.035	-0.154	-0.018	
10002669916	1	148790652	148790712	NM_025008	ADAMTSL4	0.513	0.055	0.457	0.144	-0.143	0.287	-0.131	
10002669947	1	150596470	150596530	ENST00000271816	FLG2	0.035	0.112	-0.078	-0.061	0.060	-0.122	-0.009	
10002669956	1	15772352	15772412	NM_024758	KIAA0962	0.040	0.220	-0.180	-0.127	-0.110	-0.017	-0.028	
10002670091	1	2242557	2242617	NM_024848	MORN1	0.157	0.025	0.132	-0.026	0.043	-0.068	-0.023	
10002670101	1	1179190	1179250	NM_058167	UBE2J2	0.189	0.008	0.180	0.083	-0.064	0.147	0.133	
10002670123	1	202454799	202454859	NM_138480	PLEKHA6	0.359	0.169	0.190	0.180	-0.033	0.212	-0.034	
10002670163	1	47656191	47656251	NM_012186	FOXE3	0.477	0.136	0.341	0.245	0.046	0.199	0.043	
10002670165	1	226035483	226035543	NM_053052	C1orf142	0.029	0.193	-0.164	0.222	0.233	-0.011	0.044	
10002670191	1	85496815	85496875	AF387612	C1orf52	0.127	0.092	0.034	0.148	0.239	-0.091	-0.005	
10002670201	1	15833133	15833193	NM_032341	DDI2	0.237	0.104	0.132	-0.047	-0.006	-0.042	-0.024	
10002670214	1	143702537	143702597	NM_025032	PDE4DIP	0.420	0.293	0.128	0.193	0.030	0.163	0.285	
10002670254	1	109823521	109823577	ENST00000271219	SYPL2	0.149	-0.068	0.217	0.024	-0.028	0.052	-0.013	
10002670615	1	48822128	48822188	NM_032785	RP11-342A17.1	0.188	0.098	0.090	0.143	0.034	0.109	-0.025	
10002670712	1	155914650	155914710	NM_052939	FCRL3	0.137	0.037	0.100	0.328	0.264	0.064	-0.047	
10002670908	1	149938071	149938131	NM_030918	SNX27	0.179	0.168	0.010	0.040	0.123	-0.083	-0.037	
10002670929	1	39767876	39767936	NM_024732	LOC728448	0.117	0.005	0.112	0.282	-0.075	0.358	0.015	
10002671035	1	157513357	157513417	ENST00000294746	LOC127150	0.344	0.038	0.305	0.039	-0.009	0.047	-0.002	
10002671056	1	200370029	200370089	NM_138795	ARL8A	-0.008	-0.053	0.045	-0.021	-0.052	0.031	0.000	
10002671062	1	171860540	171860600	ENST00000294805	ANKRD45	0.101	0.038	0.064	0.025	-0.039	0.064	-0.044	
10002671144	1	70499507	70499567	NM_030816	ANKRD13C	0.366	0.028	0.338	0.026	0.191	-0.164	0.026	
10002671160	1	196759116	196759176	NM_133326	ATP6V1G3	0.175	0.054	0.121	0.100	-0.002	0.103	-0.008	
10002671533	1	9565207	9565267	NM_032315	SLC25A33	0.175	-0.057	0.232	0.262	-0.034	0.296	0.066	
10002671542	1	116037690	116037750	NM_024062	VANGL1	0.059	0.205	-0.146	0.339	0.089	0.251	0.105	
10002671543	1	6443036	6443096	NM_031475	ESPN	-0.061	-0.113	0.052	0.076	0.010	0.067	0.076	
10002671584	1	243979412	243979472	NM_022743	SMYD3	0.271	0.224	0.046	0.076	0.150	-0.074	0.080	
10002671618	1	6233174	6233234	ENST00000289226	GPR153	0.150	0.004	0.146	0.130	0.134	-0.004	-0.005	
10002671638	1	20682593	20682653	AF116637	CaMKIINalpha	0.255	0.059	0.196	0.328	-0.002	0.330	0.026	
10002671643	1	114962532	114962592	ENST00000271276	DENND2C	0.646	0.136	0.510	0.355	-0.171	0.525	-0.144	
10002671781	1	32602432	32602492	NM_052841	TSSK3	0.186	0.161	0.025	0.145	-0.137	0.281	0.053	
10002671906	1	26238018	26238078	NM_032513	SLC30A2	0.179	-0.096	0.275	0.024	0.112	-0.088	-0.147	
10002671910	1	27054726	27054786	AL512765	ZDHHC18	0.177	0.086	0.091					
10002671916	1	159601490	159601550	ENST00000271463	C1orf192	-0.030	-0.160	0.130	0.046	-0.022	0.069	0.007	
10002671925	1	225985767	225985827	NM_023007	JMJD4	0.410	-0.098	0.508	0.101	0.077	0.024	-0.053	
10002671926	1	158188115	158188175	NM_033438	UNQ1938	0.155	-0.065	0.221					
10002671968	1	159950338	159950398	NM_032738	FCRLA	0.185	-0.050	0.235	0.252	-0.003	0.254	-0.021	
10002671996	1	111531323	111531383	NM_024901	DENND2D	0.364	0.153	0.211	0.294	0.195	0.099	-0.078	
10002672070	1	154082263	154082323	ENST00000295556	GON4L	0.142	0.005	0.137	0.218	0.064	0.154	0.021	
10002672074	1	102041805	102041865	AF397397	OLFM3	0.056	-0.049	0.104	-0.013	-0.015	0.002	0.025	
10002672085	1	152564362	152564422	NM_080429	AQP10	0.427	-0.085	0.511	0.493	0.082	0.410	-0.039	
10002672089	1	202641508	202641568	NM_032833	PPP1R15B	0.479	0.022	0.456	0.161	-0.141	0.302	0.002	
10002672242	1	238721716	238721776	NM_022469	GREM2	0.172	0.080	0.092	0.203	0.297	-0.094	-0.027	
10002672246	1	40536927	40536987	AK021682	COL9A2	0.694	-0.070	0.764	0.091	-0.128	0.219	-0.087	
10002672285	1	20920962	20921022	ENST00000270949	SH2D5	0.382	-0.010	0.391	0.164	-0.069	0.234	-0.046	
10002672313	1	65072575	65072635	D17042	JAK1	0.212	0.265	-0.053	-0.038	0.087	-0.125	-0.032	
10002672424	1	149398598	149398658	NM_024575	TNFAIP8L2	0.300	0.340	-0.041	-0.002	0.004	-0.006	0.061	
10002672492	1	165941855	165941915	NM_052862	RCSD1	0.319	0.279	0.040	0.225	0.058	0.167	0.159	
10002672499	1	198859966	198860026	NM_031306	DDX59	-0.012	-0.003	-0.009	0.100	0.157	-0.057	0.058	
10002672526	1	110801272	110801332	NM_032414	PROK1	0.106	0.093	0.014	-0.126	0.043	-0.169	-0.041	
10002672586	1	226347658	226347718	AK023803	ARF1	0.091	0.245	-0.153	0.074	0.112	-0.038	0.004	
10002672646	1	17596177	17596224	ENST00000294470	PADI6	0.050	-0.140	0.190	-0.034	-0.051	0.018	0.029	
10002672708	1	243070735	243070795	AK054764	FAM36A	0.283	0.044	0.238	0.099	0.064	0.035	0.061	
10002672716	1	54617748	54617808	AK001038	SSBP3	0.286	0.054	0.233	0.049	-0.144	0.193	-0.058	
10002672791	1	18684790	18684850	AK056173	KLHDC7A	0.319	0.492	-0.173	0.139	0.119	0.020	0.023	
10002672817	1	20363102	20363162	ENST00000270935	PLA2G2C	0.172	0.056	0.116	0.123	0.056	0.067	-0.086	
10002672834	1	150040249	150040309	ENST00000295325	LINGO4	0.253	-0.065	0.318	0.218	-0.152	0.370	0.065	
10002672929	1	12708481	12708541	ENST00000294488	AK127828	0.168	-0.034	0.202	0.206	-0.004	0.210	-0.004	
10002672960	1	9965767	9965827	NM_022787	NMNAT1	0.115	0.067	0.049	0.048	-0.157	0.205	0.067	
10002673054	1	36631661	36631721	NM_032881	LSM10	0.399	0.190	0.208	0.112	-0.093	0.205	0.006	
10002673075	1	101213081	101213138	NM_133496	SLC30A7	0.163	-0.038	0.201	0.072	0.080	-0.008	0.002	
10002673163	1	119949458	119949518	ENST00000286249	HSD3B1	0.185	-0.100	0.284	-0.044	-0.070	0.026	-0.046	
10002673202	1	208912652	208912712	AF085900	HHAT	0.295	0.213	0.083	0.129	0.095	0.034	0.036	
10002673205	1	9912924	9912984	NM_032368	LZIC	0.138	0.120	0.018	-0.036	-0.032	-0.004	0.042	
10002673327	1	109623730	109623790	NM_032636	PSRC1	0.344	0.291	0.053	0.559	0.127	0.432	0.067	
10002673382	1	229108680	229108740	NM_024525	TTC13	0.481	0.200	0.281	0.014	-0.086	0.100	-0.079	
10002673423	1	41748271	41748331	NM_024503	KIAA1555	0.024	0.207	-0.184	0.130	-0.006	0.136	0.003	
10002673446	1	32918786	32918846	NM_030786	SYNC1	0.368	0.237	0.131	0.087	-0.132	0.219	-0.025	
10002673448	1	205286369	205286429	AF090896	YOD1	0.097	0.177	-0.080	-0.076	0.041	-0.117	-0.031	
10002673606	1	31425264	31425324	NM_024522	NKAIN1	0.298	0.170	0.127	0.130	0.069	0.061	-0.042	
10002673703	1	229556515	229556575	NM_032018	C1orf124	0.286	0.042	0.244	0.110	0.053	0.056	0.016	
10002673733	1	3340657	3340717	NM_022114	PRDM16	0.241	-0.111	0.352	-0.027	-0.084	0.057	0.039	
10002673741	1	1159120	1159180	NM_080605	B3GALT6	-0.034	-0.024	-0.010	0.188	-0.076	0.264	-0.029	
10002673777	1	224399037	224399097	NM_022735	ACBD3	0.120	0.092	0.028	0.192	-0.054	0.246	0.170	
10002673953	1	217451627	217451687	NM_138794	LYPLAL1	0.152	-0.021	0.172	0.116	0.049	0.067	0.141	
10002673962	1	39243221	39243281	NM_024595	C1orf108	0.453	0.184	0.269	0.330	0.255	0.075	0.188	
10002673991	1	36294585	36294645	NM_024852	EIF2C3	0.167	-0.007	0.174	0.092	0.037	0.055	-0.059	
10002674030	1	97367543	97367603	AK024517	DPYD	0.474	-0.036	0.510	0.056	-0.023	0.079	-0.041	
10002674138	1	92626077	92626137	NM_024813	RPAP2	0.261	0.094	0.167	0.197	0.184	0.013	-0.064	
10002674228	1	66983193	66983253	NM_032291	SGIP1	0.237	-0.064	0.301	0.022	-0.085	0.107	0.017	
10002674495	1	15863067	15863127	AF147408	RSC1A1	0.211	0.078	0.134	0.039	-0.030	0.070	0.024	
10002674526	1	27579140	27579200	ENST00000289122	CD164L2	0.116	0.062	0.054	0.014	-0.082	0.096	0.011	
10002674541	1	169234424	169234484	NM_025063	C1orf129	0.185	0.080	0.105	-0.001	0.194	-0.195	0.067	
10002674605	1	201110782	201110842	AK055809	NR_002929	0.168	0.076	0.092	0.092	0.120	-0.029	0.002	
10002674684	1	21877689	21877749	NM_032236	USP48	0.649	0.308	0.341	0.353	0.340	0.013	0.358	
10002674686	1	28481526	28481586	NM_031459	SESN2	0.376	-0.086	0.462	0.214	-0.021	0.235	-0.003	
10002674702	1	9253533	9253593	AK024548	H6PD	0.527	0.533	-0.006	0.269	0.333	-0.064	0.474	
10002674791	1	46267302	46267362	AK025352	MAST2	0.243	0.167	0.076	0.121	-0.014	0.135	-0.062	
10002674831	1	62393835	62393895	AK054971	INADL	0.356	0.070	0.286	0.256	0.072	0.185	-0.030	
10002674894	1	32486897	32486957	NM_032648	FAM167B	0.204	0.181	0.023	0.108	-0.104	0.212	0.001	
10002674958	1	27089770	27089830	NM_022078	GPATCH3	0.158	0.173	-0.015	0.190	-0.109	0.298	-0.082	
10002675052	1	149286620	149286680	NM_138278	BNIPL	-0.016	0.037	-0.053	0.297	0.140	0.157	0.147	
10002675072	1	85420997	85421057	AK023877	SYDE2	0.403	0.192	0.211	0.201	-0.064	0.265	-0.016	
10002675196	1	43622231	43622291	NM_052877	MED8	0.428	-0.006	0.434	0.262	0.195	0.067	0.165	
10002675201	1	158327765	158327825	NM_052868	IGSF8	0.207	-0.182	0.389	0.231	0.040	0.191	-0.119	
10002675202	1	10700098	10700158	AK022482	CASZ1	0.122	-0.082	0.204	0.075	-0.043	0.118	-0.054	
10002675204	1	204828972	204829032	NM_031437	RASSF5	0.222	0.019	0.203	0.062	-0.076	0.137	-0.004	
10002675370	1	178510748	178510808	NM_033343	LHX4	0.089	-0.059	0.148	-0.122	-0.028	-0.094	-0.002	
10002675390	1	154702730	154702790	AK056972	MEF2D	0.168	0.017	0.151	0.165	0.098	0.067	-0.010	
10002675404	1	226632286	226632610	AB046859	OBSCN	0.233	0.029	0.205	-0.030	0.018	-0.048	-0.026	
10002675405	1	52270538	52270598	NM_138417	TXNDC12	0.172	0.049	0.122	0.146	0.093	0.053	-0.035	
10002675406	1	151537083	151537143	NM_052891	PGLYRP3	0.073	-0.060	0.133	0.062	-0.078	0.140	-0.093	
10002675409	1	15629223	15629283	NM_024329	EFHD2	0.178	0.257	-0.079					
10002675428	1	110094276	110094336	NM_024526	EPS8L3	0.001	-0.041	0.042	0.137	-0.200	0.337	-0.006	
10002675435	1	114434729	114434789	AK056448	SYT6	-0.066	0.124	-0.190					
10002675470	1	216107009	216107069	NM_138796	SPATA17	0.289	-0.170	0.459	0.050	-0.138	0.187	0.031	
10002675506	1	202378991	202379051	AK021561	ETNK2	0.182	-0.203	0.385	0.037	0.001	0.036	-0.089	
10002675528	1	43013937	43013997	NM_024097	C1orf50	0.795	0.515	0.281	0.434	0.672	-0.238	0.682	
10002675542	1	154862081	154862141	NM_021817	HAPLN2	0.148	-0.051	0.200	-0.038	-0.054	0.015	0.022	
10002675578	1	190421505	190421565	NM_130782	RGS18	0.240	0.159	0.081	0.203	0.303	-0.100	0.093	
10002675585	1	196555332	196555392	NM_133494	NEK7	0.148	0.077	0.071	0.251	-0.015	0.266	0.020	
10002675602	1	205168629	205168689	AK026320	PIGR	0.193	-0.003	0.195	0.060	0.130	-0.070	-0.075	
10002675615	1	204148941	204149001	NM_052934	SLC26A9	0.103	0.306	-0.203	-0.007	0.122	-0.129	0.000	
10002675618	1	149998785	149998845	NM_031420	MRPL9	0.319	-0.131	0.450	0.141	0.035	0.106	-0.002	
10002675743	1	110826981	110827041	ENST00000294839	CYMP	0.671	0.218	0.453	0.104	-0.149	0.253	-0.112	
10002675798	1	22319031	22319091	NM_030761	WNT4	0.202	0.136	0.066	0.188	-0.099	0.287	-0.031	
10002675860	1	205261777	205261837	NM_023938	C1orf116	0.006	-0.022	0.028	0.074	0.061	0.013	-0.007	
10002675894	1	9110010	9110070	NM_024980	GPR157	0.051	0.094	-0.044	0.098	0.062	0.036	-0.028	
10002675907	1	20698529	20698589	NM_024544	MUL1	0.377	0.277	0.100	0.262	0.095	0.167	0.105	
10002675930	1	172036107	172036167	BC019022	CENPL	0.041	0.019	0.022	-0.077	0.009	-0.086	-0.023	
10002675952	1	181135713	181135773	NM_030933	C1orf14	-0.007	0.074	-0.081	0.033	0.054	-0.021	-0.058	
10002675993	1	42668681	42668741	NM_032257	ZMYND12	0.575	0.251	0.324	0.233	0.175	0.058	0.108	
10002676144	1	145258344	145258405	ENST00000271340	BC036212	0.323	0.103	0.220	-0.048	0.112	-0.160	-0.050	
10002676213	1	40138025	40138085	NM_005376	MYCL1	0.054	-0.086	0.140	0.245	0.048	0.198	0.040	
10002676293	1	245266709	245266768	NM_033213	ZNF670	0.507	0.580	-0.073	0.271	0.262	0.009	0.195	
10002676363	1	119912133	119912193	ENST00000256580	HSD3B1	0.063	-0.148	0.211	-0.071	0.137	-0.208	-0.071	
10002676376	1	148457581	148457642	NM_030920	ANP32E	0.224	-0.169	0.392	0.084	-0.136	0.220	-0.007	
10002676487	1	212639149	212639209	AK022321	PTPN14	0.227	0.150	0.077	0.017	-0.005	0.022	-0.099	
10002676504	1	45240806	45240864	NM_024602	HECTD3	0.290	0.069	0.221	0.058	0.114	-0.056	-0.070	
10002676761	1	27110590	27110650	NM_021969	NR0B2	0.203	-0.048	0.251	0.115	-0.146	0.261	-0.045	
10002676780	1	154905532	154905592	NM_024609	NES	0.259	-0.004	0.262	0.028	-0.050	0.078	-0.044	
10002676804	1	154959323	154959383	NM_030980	ISG20L2	0.450	0.271	0.179	0.126	0.279	-0.153	0.081	
10002676970	1	16430782	16430842	NM_030907	C1orf89	0.381	0.450	-0.069	0.202	0.148	0.055	0.155	
10002676998	1	119966931	119966991	NM_138366	ZNF697	0.468	0.132	0.336	0.077	0.012	0.065	-0.021	
10002677203	1	149408127	149408187	NM_024041	SCNM1	0.241	0.030	0.211	0.233	-0.114	0.346	-0.001	
10002677221	1	26250399	26250459	NM_032588	TRIM63	-0.019	-0.048	0.029	0.509	0.450	0.059	0.051	
10002677244	1	159181440	159181498	NM_080878	ITLN2	0.274	-0.084	0.358	0.283	0.037	0.246	0.012	
10002677253	1	177331671	177331731	NM_022371	TOR3A	0.474	0.074	0.400	0.249	0.103	0.146	0.192	
10002677301	1	219124958	219125018	NM_021958	HLX1	0.141	0.033	0.108	0.044	-0.091	0.135	0.012	
10002677322	1	20850489	20850546	NM_032409	PINK1	0.655	0.368	0.288	0.580	0.507	0.073	0.535	
10002677416	1	93170120	93170180	NM_032117	RP4-716F6.2-001	0.143	0.180	-0.037	0.161	0.061	0.100	-0.061	
10002677448	1	209672438	209672498	NM_032705	C1orf97	0.497	0.165	0.331	0.117	0.049	0.068	0.143	
10002677454	1	203845619	203845679	AK024944	MED28	0.111	-0.044	0.155	0.164	0.031	0.133	0.046	
10002677539	1	68363834	68363894	NM_024911	GPR177	0.221	-0.126	0.347	0.609	0.256	0.353	0.025	
10002677571	1	201284674	201284732	ENST00000295650	PPFIA4	0.242	0.010	0.232	-0.012	-0.099	0.088	-0.022	
10002677647	1	100487247	100487307	AB015616	DBT	0.254	0.134	0.120	0.114	0.034	0.080	-0.091	
10002677799	1	77169957	77170017	AK021730	ST6GALNAC5	0.169	-0.129	0.297	-0.002	-0.060	0.059	-0.015	
10002677815	1	245530333	245530393	NM_032752	ZNF496	0.140	0.094	0.046	0.169	-0.024	0.193	-0.027	
10002677816	1	31825818	31825874	NM_022164	TINAGL1	0.356	0.121	0.235					
10002677848	1	222683633	222683693	ENST00000295028	WDR26	0.164	-0.039	0.202	0.091	0.178	-0.087	-0.037	
10002677951	1	180724240	180724300	NM_032267	RGSL2	0.058	-0.012	0.069	-0.008	-0.077	0.069	-0.006	
10002677956	1	62693456	62693516	AB051558	DOCK7	0.427	0.350	0.077	0.328	0.324	0.004	-0.063	
10002952724	1	226948930	226948990	NM_021205	RHOU	0.407	0.285	0.122	0.242	0.113	0.129	-0.022	
10002952814	1	183026790	183026850	NM_052966	FAM129A	0.191	0.049	0.142					
10002952939	1	221350327	221350387	NM_003268	TLR5	0.304	-0.070	0.375	0.207	0.285	-0.078	-0.006	
10002952951	1	23114308	23114368	NM_004442	EPHB2	0.247	-0.150	0.397	0.164	0.002	0.161	0.054	
10002953303	1	33132885	33132945	NM_033504	TMEM54	0.164	0.067	0.097	-0.117	0.109	-0.226	-0.043	
10002953360	1	168028404	168028464	NM_033418	C1orf156	0.606	0.433	0.172	0.340	0.030	0.310	0.253	
10002953374	1	15691425	15691485	NM_032996	CASP9	0.686	0.349	0.337	0.154	0.101	0.053	0.067	
10002953375	1	159357445	159357505	NM_032998	NIT1	0.223	-0.059	0.282	0.210	-0.182	0.391	0.034	
10002953458	1	149371383	149371443	NM_030913	SEMA6C	0.105	-0.047	0.152	0.086	-0.086	0.172	-0.011	
10002953474	1	1254067	1254127	NM_030575	MGC10334	0.239	-0.030	0.270	0.078	-0.102	0.180	-0.008	
10002953491	1	182864630	182864690	NM_030806	C1orf21	0.177	0.158	0.019	0.327	0.049	0.278	-0.022	
10002953501	1	112865349	112865409	NM_024494	WNT2B	0.364	0.386	-0.022	0.057	-0.099	0.156	-0.028	
10002953507	1	35025314	35025374	NM_024009	GJB3	0.076	-0.000	0.077	-0.076	0.049	-0.125	-0.002	
10002953515	1	120255858	120255918	NM_024408	NOTCH2	0.048	0.122	-0.074	0.106	0.023	0.083	0.128	
10002953520	1	28913866	28913926	NM_024482	GMEB1	0.537	0.045	0.493	0.168	-0.106	0.273	-0.042	
10002953528	1	43601659	43601719	NM_022821	ELOVL1	0.184	0.116	0.069	0.114	-0.029	0.143	-0.047	
10002953545	1	152013119	152013179	NM_023015	INTS3	0.115	-0.109	0.224	0.019	0.095	-0.076	0.029	
10002953561	1	148752432	148752492	NM_022664	ECM1	0.196	-0.136	0.332	0.065	-0.083	0.147	0.016	
10002953562	1	168973327	168973387	NM_022716	PRRX1	0.133	-0.048	0.181	0.051	-0.161	0.212	-0.010	
10002953565	1	219054156	219054216	NM_022746	MOSC1	0.239	-0.081	0.320	0.511	0.085	0.426	0.115	
10002953575	1	229203034	229203094	NM_022786	ARV1	0.264	-0.038	0.301	0.010	0.036	-0.026	-0.075	
10002953591	1	50439578	50439638	NM_021952	ELAVL4	0.064	-0.014	0.078	0.036	-0.070	0.107	0.036	
10002953607	1	17185039	17185099	NM_022089	RP1-37C10.4	0.255	0.125	0.130	-0.026	-0.110	0.084	-0.082	
10002953609	1	173249777	173249837	NM_022100	MRPS14	0.192	-0.194	0.386	0.005	-0.071	0.076	-0.050	
10002953622	1	120237749	120237809	NM_021794	ADAM30	-0.002	-0.102	0.100	0.003	-0.122	0.125	-0.039	
10002953652	1	149777632	149777692	NM_020770	KIAA1319	0.245	0.376	-0.131	0.009	-0.021	0.030	-0.034	
10002953673	1	100388467	100388527	NM_019083	LRRC39	0.220	-0.141	0.361	-0.175	-0.020	-0.155	-0.003	
10002953674	1	44458866	44458926	NM_019100	DMAP1	0.340	0.365	-0.025	0.207	-0.010	0.218	0.143	
10002953686	1	230243328	230243388	NM_018662	DISC1	0.452	0.248	0.204	0.333	0.483	-0.150	0.133	
10002953722	1	210977696	210977756	NM_015471	NSL1	0.527	-0.099	0.626	0.132	-0.053	0.184	-0.000	
10002953731	1	10360241	10360301	NM_015074	KIF1B	0.113	0.071	0.042	0.180	-0.015	0.195	-0.029	
10002953734	1	182171610	182171670	NM_015101	GLT25D2	0.112	-0.060	0.172	0.600	0.506	0.094	0.107	
10002953735	1	46274320	46274380	NM_015112	MAST2	0.229	0.109	0.120	0.196	-0.118	0.314	0.062	
10002953738	1	182164227	182164287	NM_015149	RGL1	0.261	0.027	0.234	0.292	0.241	0.051	0.081	
10002953755	1	55088072	55088132	NM_014762	DHCR24	0.183	0.070	0.113	0.411	0.093	0.318	0.114	
10002953763	1	31177014	31177074	NM_014676	PUM1	0.220	0.241	-0.021	0.081	-0.086	0.167	0.043	
10002953798	1	15645654	15645707	NM_007272	CTRC	0.356	0.075	0.280	0.426	0.083	0.343	0.036	
10002953807	1	204831636	204831696	NM_006893	LGTN	0.319	0.207	0.112	0.326	-0.091	0.417	0.016	
10002953843	1	209614847	209614907	NM_004619	TRAF5	0.056	0.324	-0.268	0.203	0.221	-0.018	0.072	
10002953854	1	111587497	111587557	NM_004000	CHI3L2	0.187	0.045	0.142	0.726	0.314	0.412	0.011	
10002953865	1	177590947	177591007	NM_003101	SOAT1	0.163	-0.060	0.224	0.158	0.142	0.016	-0.018	
10002953867	1	239005560	239005620	NM_002924	RGS7	0.031	0.024	0.007	0.190	0.076	0.114	0.036	
10002953873	1	205168494	205168554	NM_002644	PIGR	0.127	0.111	0.017	0.259	-0.092	0.351	-0.008	
10002953874	1	202658412	202658472	NM_002646	PIK3C2B	0.227	0.129	0.097	0.232	-0.012	0.243	-0.038	
10002953885	1	31890588	31890649	NM_001856	COL16A1	0.372	0.249	0.123	0.197	-0.106	0.303	-0.036	
10002953886	1	20817922	20817982	NM_001785	CDD	0.520	-0.038	0.558	0.236	0.237	-0.001	0.086	
10002953890	1	101110531	101110591	NM_001439	EXTL2	0.238	-0.094	0.332	0.050	0.075	-0.025	0.011	
10002953893	1	109619793	109619853	NM_001408	CELSR2	0.205	0.090	0.115	0.186	0.048	0.139	0.069	
10002953911	1	22860428	22860488	NM_000491	C1QB	0.416	-0.036	0.452	0.368	-0.018	0.386	0.087	
10002953933	1	20392431	20392491	NM_152376	UBXN10	0.139	-0.069	0.208	0.223	0.152	0.071	0.046	
10002953942	1	95221015	95221075	NM_144988	ALG14	0.209	0.117	0.093	0.047	0.032	0.016	-0.038	
10002953954	1	178080658	178080718	NM_145034	TOR1AIP2	0.347	0.077	0.270	0.107	0.006	0.101	0.208	
10002953997	1	55080453	55080513	NM_152607	C1orf177	0.056	0.183	-0.127	0.339	0.069	0.270	0.123	
10002954009	1	27148647	27148707	NM_152365	C1orf172	-0.089	-0.097	0.007	0.286	0.184	0.101	0.021	
10002954018	1	159336697	159336757	NM_152366	KLHDC9	0.340	-0.074	0.414	0.402	0.314	0.088	0.223	
10002954023	1	154895882	154895942	NM_021948	BCAN	0.282	-0.176	0.459	0.010	-0.107	0.118	0.009	
10002954037	1	233679947	233680007	NM_152490	B3GALNT2	0.497	0.327	0.170	0.533	0.336	0.196	0.342	
10002954058	1	148526059	148526119	NM_144697	C1orf51	0.226	-0.070	0.296	0.114	0.103	0.011	-0.009	
10002954070	1	53744532	53744592	NM_147193	GLIS1	0.301	0.006	0.294	0.103	0.084	0.019	-0.017	
10002954079	1	35952064	35952124	NM_152374	FLJ38984	0.333	-0.081	0.414	0.270	-0.010	0.280	0.103	
10002954084	1	222994812	222994872	NM_152495	CNIH3	0.219	0.019	0.200	-0.015	0.083	-0.098	0.008	
10002954099	1	67016799	67016859	NM_152665	TCTEX1D1	0.448	0.298	0.150	0.149	0.140	0.009	0.081	
10002954106	1	17443875	17443935	NM_013358	PADI1	0.137	-0.154	0.291	0.019	0.042	-0.023	-0.053	
10002954107	1	154830653	154830713	NM_144772	APOA1BP	0.305	-0.032	0.337	0.165	-0.108	0.274	0.017	
10002954110	1	229426334	229426394	NM_152379	C1orf131	-0.047	-0.012	-0.035	0.188	0.145	0.042	0.046	
10002954113	1	36656104	36656164	NM_145047	C1orf102	0.281	0.096	0.185	0.025	0.103	-0.078	0.093	
10002954160	1	153232151	153232211	NM_025207	RP11-307C12.7	-0.043	-0.077	0.034	0.057	-0.003	0.060	-0.065	
10002954163	1	221635342	221635402	NM_152610	C1orf65	-0.061	0.071	-0.132	-0.058	0.118	-0.176	0.014	
10002954171	1	160758924	160758984	NM_144624	UHMK1	0.382	-0.019	0.401	0.039	-0.020	0.059	0.072	
10002954182	1	54464778	54464838	NM_145716	SSBP3	0.181	0.128	0.053	0.171	0.024	0.146	0.053	
10002954220	1	34102863	34102923	NM_145205	HMGB4	0.133	0.130	0.003	0.128	-0.125	0.252	-0.050	
10002954225	1	70360454	70360514	NM_020794	LRRC7	-0.036	-0.050	0.014	0.184	0.133	0.051	-0.006	
10002954230	1	41099851	41099911	NM_133467	CITED4	0.128	0.108	0.020	0.077	-0.195	0.271	-0.002	
10002954246	1	76869136	76869196	NM_152996	ST6GALNAC3	0.066	-0.071	0.136	0.430	0.090	0.340	0.184	
10002954278	1	54337662	54337722	NM_153035	C1orf83	0.218	0.168	0.049	0.083	0.031	0.052	-0.005	
10003495153	1	16595382	16595442	NM_015609	SPATA21	0.080	-0.087	0.167	-0.044	0.136	-0.180	-0.003	
10003495178	1	64482400	64482459	NM_152489	UBE2U	0.008	-0.084	0.092	0.028	0.060	-0.032	-0.036	
10003495186	1	47288841	47288901	NM_178033	CYP4X1	0.201	0.154	0.046	0.010	-0.039	0.049	0.025	
10003495188	1	158595075	158595135	NM_015331	NCSTN	0.292	-0.158	0.450	0.313	0.204	0.108	0.017	
10003495213	1	39764126	39764186	NM_181809	LOC728448	0.177	0.084	0.093	0.014	0.096	-0.082	-0.016	
10003495254	1	153373850	153373910	NM_182685	EFNA1	0.236	-0.153	0.389	0.400	0.155	0.246	0.009	
10003495266	1	100321385	100321445	NM_033055	HIAT1	0.242	0.257	-0.015	0.183	-0.016	0.199	-0.044	
10003495274	1	207974653	207974713	NM_181755	HSD11B1	0.217	0.066	0.151	0.321	-0.072	0.393	0.026	
