AssociatedGeneName EnsemblGeneID h2.CrossTissue se.CrossTissue ensid
TRIM69 ENSG00000185880.8 0.386187 0.065689 ENSG00000185880
DTX2 ENSG00000091073.15 0.168445 0.056374 ENSG00000091073
CPSF1 ENSG00000071894.10 0.832287 0.025644 ENSG00000071894
MYL4 ENSG00000198336.5 0.15542 0.055807 ENSG00000198336
PRSS37 ENSG00000165076.9 0.194634 0.050723 ENSG00000165076
GTPBP4 ENSG00000107937.14 0.138615 0.053963 ENSG00000107937
HP ENSG00000257017.4 0.114073 0.054586 ENSG00000257017
MANEA ENSG00000172469.10 0.310135 0.063928 ENSG00000172469
AKAP7 ENSG00000118507.11 0.201896 0.066 ENSG00000118507
PPP1R14D ENSG00000166143.5 0.107482 0.048054 ENSG00000166143
MBD6 ENSG00000166987.10 0.135087 0.054505 ENSG00000166987
GGACT ENSG00000134864.6 0.335904 0.068482 ENSG00000134864
PRPH2 ENSG00000112619.6 0.343945 0.05956 ENSG00000112619
GAD1 ENSG00000128683.9 0.362914 0.064692 ENSG00000128683
ALDH8A1 ENSG00000118514.9 0.492512 0.054459 ENSG00000118514
MMP17 ENSG00000198598.2 0.260834 0.06595 ENSG00000198598
UBXN6 ENSG00000167671.7 0.225349 0.061709 ENSG00000167671
FAM86C1 ENSG00000158483.11 0.113841 0.051641 ENSG00000158483
SLC45A4 ENSG00000022567.5 0.237564 0.062799 ENSG00000022567
SLC44A3 ENSG00000143036.12 0.135973 0.058952 ENSG00000143036
NPRL3 ENSG00000103148.11 0.553874 0.0589 ENSG00000103148
TCP11L1 ENSG00000176148.11 0.277286 0.060073 ENSG00000176148
TRMT44 ENSG00000155275.14 0.281906 0.06024 ENSG00000155275
CHRAC1 ENSG00000104472.5 0.135086 0.057865 ENSG00000104472
HSD17B14 ENSG00000087076.4 0.39205 0.065407 ENSG00000087076
CENPM ENSG00000100162.10 0.088615 0.040548 ENSG00000100162
NUSAP1 ENSG00000137804.8 0.136479 0.046936 ENSG00000137804
VAT1 ENSG00000108828.11 0.131102 0.054835 ENSG00000108828
RPL14 ENSG00000188846.9 0.232337 0.068759 ENSG00000188846
STIM2 ENSG00000109689.10 0.13812 0.048701 ENSG00000109689
PIEZO1 ENSG00000103335.15 0.17845 0.063658 ENSG00000103335
CCBL2 ENSG00000137944.12 0.335524 0.063807 ENSG00000137944
AC093726.6 ENSG00000214106.3 0.255683 0.063511 ENSG00000214106
C21orf2 ENSG00000160226.11 0.181789 0.068655 ENSG00000160226
TBC1D4 ENSG00000136111.8 0.314917 0.067392 ENSG00000136111
VPREB3 ENSG00000128218.7 0.393461 0.066618 ENSG00000128218
ASCL5 ENSG00000232237.2 0.528576 0.055973 ENSG00000232237
TMTC4 ENSG00000125247.11 0.39807 0.063192 ENSG00000125247
CMTM3 ENSG00000140931.15 0.182634 0.059986 ENSG00000140931
FKBP15 ENSG00000119321.4 0.139469 0.051778 ENSG00000119321
CAPS ENSG00000105519.8 0.125721 0.051948 ENSG00000105519
ITPA ENSG00000125877.7 0.354963 0.068228 ENSG00000125877
RP3-402G11.5 ENSG00000073169.9 0.147556 0.055042 ENSG00000073169
SMIM17 ENSG00000268182.1 0.372507 0.071184 ENSG00000268182
SLC25A39 ENSG00000013306.11 0.229608 0.058734 ENSG00000013306
KRI1 ENSG00000129347.15 0.410342 0.060554 ENSG00000129347
COMMD10 ENSG00000145781.4 0.193759 0.054938 ENSG00000145781
SEC23B ENSG00000101310.10 0.303766 0.06302 ENSG00000101310
REP15 ENSG00000174236.2 0.315434 0.075103 ENSG00000174236
CDK2AP1 ENSG00000111328.2 0.131894 0.050679 ENSG00000111328
GIMAP6 ENSG00000133561.11 0.083294 0.041573 ENSG00000133561
C13orf45 ENSG00000178734.4 0.28947 0.064287 ENSG00000178734
LINGO2 ENSG00000174482.6 0.104884 0.044895 ENSG00000174482
SPPL2A ENSG00000138600.5 0.142158 0.048329 ENSG00000138600
PRPF31 ENSG00000105618.9 0.172831 0.068958 ENSG00000105618
LSMEM1 ENSG00000181016.5 0.156331 0.053616 ENSG00000181016
ATP2C2 ENSG00000064270.8 0.161788 0.0669 ENSG00000064270
ATF6 ENSG00000118217.5 0.194975 0.057105 ENSG00000118217
LENG8 ENSG00000167615.12 0.114782 0.053645 ENSG00000167615
CPZ ENSG00000109625.14 0.114949 0.047845 ENSG00000109625
CC2D2A ENSG00000048342.11 0.099855 0.046345 ENSG00000048342
GNPAT ENSG00000116906.7 0.170235 0.054887 ENSG00000116906
SNX7 ENSG00000162627.12 0.260733 0.066146 ENSG00000162627
NIPSNAP1 ENSG00000184117.7 0.153899 0.05045 ENSG00000184117
LHFP ENSG00000183722.7 0.092845 0.04468 ENSG00000183722
LAMC2 ENSG00000058085.10 0.242096 0.061105 ENSG00000058085
PARP14 ENSG00000173193.9 0.228381 0.061949 ENSG00000173193
TMEM165 ENSG00000134851.7 0.086241 0.042484 ENSG00000134851
JHDM1D ENSG00000006459.6 0.128782 0.060126 ENSG00000006459
LILRA3 ENSG00000170866.7 0.434226 0.065945 ENSG00000170866
TMEM140 ENSG00000146859.5 0.112331 0.046598 ENSG00000146859
UROD ENSG00000126088.8 0.16004 0.056345 ENSG00000126088
MSH3 ENSG00000113318.9 0.472587 0.059472 ENSG00000113318
CNN2 ENSG00000064666.10 0.262081 0.064107 ENSG00000064666
ERMP1 ENSG00000099219.9 0.167444 0.055713 ENSG00000099219
NPIPB6 ENSG00000198156.6 0.191043 0.061518 ENSG00000198156
BBS2 ENSG00000125124.7 0.459846 0.059433 ENSG00000125124
LIN7A ENSG00000111052.3 0.10636 0.050803 ENSG00000111052
IGSF11 ENSG00000144847.8 0.397325 0.065709 ENSG00000144847
MS4A14 ENSG00000166928.6 0.352569 0.061727 ENSG00000166928
C5orf63 ENSG00000164241.9 0.239762 0.062405 ENSG00000164241
GGT1 ENSG00000100031.14 0.152897 0.053815 ENSG00000100031
PEX6 ENSG00000124587.9 0.494286 0.055857 ENSG00000124587
GPR179 ENSG00000188888.7 0.175596 0.059995 ENSG00000188888
LYRM5 ENSG00000205707.6 0.518226 0.055685 ENSG00000205707
CPT1B ENSG00000205560.8 0.292376 0.062774 ENSG00000205560
TTC38 ENSG00000075234.12 0.5814 0.055299 ENSG00000075234
CCDC65 ENSG00000139537.6 0.365204 0.062866 ENSG00000139537
ZNF740 ENSG00000139651.9 0.283157 0.065393 ENSG00000139651
ARL9 ENSG00000196503.2 0.14356 0.05405 ENSG00000196503
CAPRIN2 ENSG00000110888.13 0.216011 0.062344 ENSG00000110888
CFHR3 ENSG00000116785.9 0.46617 0.068297 ENSG00000116785
ZBTB5 ENSG00000168795.4 0.21597 0.061099 ENSG00000168795
AP3D1 ENSG00000065000.11 0.32398 0.063298 ENSG00000065000
FAM168A ENSG00000054965.6 0.131533 0.05455 ENSG00000054965
GJB2 ENSG00000165474.5 0.294251 0.069733 ENSG00000165474
LRMP ENSG00000118308.10 0.210164 0.063857 ENSG00000118308
BEAN1 ENSG00000166546.9 0.17911 0.058464 ENSG00000166546
ZNF107 ENSG00000196247.7 0.071615 0.035048 ENSG00000196247
MRC1 ENSG00000120586.4 0.433827 0.06489 ENSG00000120586
B3GALNT2 ENSG00000162885.7 0.168598 0.052719 ENSG00000162885
ACP5 ENSG00000102575.6 0.253631 0.064061 ENSG00000102575
DOCK1 ENSG00000150760.8 0.111157 0.044669 ENSG00000150760
RPS13 ENSG00000110700.2 0.256849 0.063378 ENSG00000110700
FPGT-TNNI3K ENSG00000259030.1 0.174536 0.052646 ENSG00000259030
DNAH7 ENSG00000118997.9 0.123797 0.046331 ENSG00000118997
DUSP18 ENSG00000167065.9 0.163877 0.05617 ENSG00000167065
CCDC158 ENSG00000163749.13 0.390953 0.063177 ENSG00000163749
TMOD2 ENSG00000128872.5 0.127984 0.052865 ENSG00000128872
ZNF302 ENSG00000089335.16 0.46706 0.057447 ENSG00000089335
XAB2 ENSG00000076924.7 0.340058 0.063177 ENSG00000076924
AP000350.4 ENSG00000218537.1 0.763051 0.035235 ENSG00000218537
TMC2 ENSG00000149488.11 0.261333 0.061007 ENSG00000149488
C10orf129 ENSG00000173124.10 0.465591 0.062217 ENSG00000173124
ISLR2 ENSG00000167178.11 0.209948 0.062338 ENSG00000167178
ATP6AP1L ENSG00000205464.7 0.760369 0.037288 ENSG00000205464
ENPP4 ENSG00000001561.6 0.15994 0.060973 ENSG00000001561
C1orf192 ENSG00000188931.3 0.122987 0.047296 ENSG00000188931
HOXB3 ENSG00000120093.7 0.144419 0.051132 ENSG00000120093
KANK2 ENSG00000197256.6 0.112785 0.052536 ENSG00000197256
RWDD2A ENSG00000013392.6 0.209284 0.063355 ENSG00000013392
DUSP14 ENSG00000161326.8 0.291661 0.062537 ENSG00000161326
STAM ENSG00000136738.10 0.220154 0.059738 ENSG00000136738
RFX7 ENSG00000181827.10 0.198612 0.058043 ENSG00000181827
AASDH ENSG00000157426.9 0.273203 0.057029 ENSG00000157426
DZIP3 ENSG00000198919.8 0.122525 0.051662 ENSG00000198919
CCDC155 ENSG00000161609.5 0.306733 0.060033 ENSG00000161609
CYP4A22 ENSG00000162365.7 0.164001 0.047471 ENSG00000162365
ABCA10 ENSG00000154263.13 0.094298 0.046046 ENSG00000154263
C1orf131 ENSG00000143633.8 0.118229 0.055214 ENSG00000143633
ASRGL1 ENSG00000162174.8 0.207973 0.063524 ENSG00000162174
WDR63 ENSG00000162643.8 0.220392 0.060744 ENSG00000162643
ZNF197 ENSG00000186448.10 0.214992 0.054 ENSG00000186448
DOK7 ENSG00000175920.11 0.083961 0.040185 ENSG00000175920
LMBR1L ENSG00000139636.11 0.169842 0.053146 ENSG00000139636
ZNF814 ENSG00000204514.5 0.256387 0.060187 ENSG00000204514
ARMC10 ENSG00000170632.9 0.458845 0.06307 ENSG00000170632
SMIM14 ENSG00000163683.6 0.210944 0.06498 ENSG00000163683
RILPL1 ENSG00000188026.7 0.109338 0.05036 ENSG00000188026
TTC5 ENSG00000136319.7 0.109907 0.050093 ENSG00000136319
MMRN1 ENSG00000138722.5 0.177216 0.054437 ENSG00000138722
GALNT18 ENSG00000110328.5 0.176352 0.068098 ENSG00000110328
PPARA ENSG00000186951.12 0.133073 0.056262 ENSG00000186951
FANCG ENSG00000221829.5 0.228386 0.062327 ENSG00000221829
GNL3 ENSG00000163938.12 0.1705 0.05637 ENSG00000163938
DBF4B ENSG00000161692.13 0.629802 0.050444 ENSG00000161692
OXA1L ENSG00000155463.8 0.196914 0.064912 ENSG00000155463
MCC ENSG00000171444.13 0.293823 0.060737 ENSG00000171444
PLCE1 ENSG00000138193.9 0.150768 0.056253 ENSG00000138193
FLT3LG ENSG00000090554.7 0.201621 0.063656 ENSG00000090554
GSTM5 ENSG00000134201.6 0.533062 0.060508 ENSG00000134201
GLIS1 ENSG00000174332.3 0.218574 0.064187 ENSG00000174332
PDCD6IP ENSG00000170248.9 0.144409 0.053153 ENSG00000170248
ERAP2 ENSG00000164308.12 0.722502 0.037884 ENSG00000164308
CTNNA1 ENSG00000044115.15 0.118013 0.046704 ENSG00000044115
SLC39A12 ENSG00000148482.7 0.21975 0.059987 ENSG00000148482
HS3ST3A1 ENSG00000153976.2 0.141879 0.055008 ENSG00000153976
UTP18 ENSG00000011260.9 0.140389 0.055829 ENSG00000011260
CSRP2BP ENSG00000149474.8 0.123112 0.055501 ENSG00000149474
KIAA1467 ENSG00000084444.9 0.162219 0.057658 ENSG00000084444
LIPC ENSG00000166035.6 0.240164 0.071043 ENSG00000166035
PRR13 ENSG00000205352.6 0.114437 0.045548 ENSG00000205352
NFASC ENSG00000163531.11 0.136685 0.051111 ENSG00000163531
SPAG1 ENSG00000104450.8 0.217338 0.054741 ENSG00000104450
QPRT ENSG00000103485.12 0.184043 0.060976 ENSG00000103485
SNUPN ENSG00000169371.9 0.312482 0.062169 ENSG00000169371
MYO7B ENSG00000169994.14 0.125541 0.050895 ENSG00000169994
BZRAP1 ENSG00000005379.11 0.145438 0.050647 ENSG00000005379
IGSF22 ENSG00000179057.9 0.155437 0.061142 ENSG00000179057
MASTL ENSG00000120539.10 0.412259 0.056251 ENSG00000120539
COG4 ENSG00000103051.14 0.243829 0.063725 ENSG00000103051
TUBA1B ENSG00000123416.11 0.103746 0.048051 ENSG00000123416
IKBKE ENSG00000143466.8 0.282163 0.065055 ENSG00000143466
KIAA1143 ENSG00000163807.4 0.155372 0.051664 ENSG00000163807
MC1R ENSG00000258839.2 0.226463 0.063527 ENSG00000258839
ECT2L ENSG00000203734.6 0.370964 0.061816 ENSG00000203734
ATP8B4 ENSG00000104043.10 0.100769 0.045338 ENSG00000104043
PPCDC ENSG00000138621.7 0.235022 0.065719 ENSG00000138621
NEFH ENSG00000100285.9 0.307655 0.071371 ENSG00000100285
CACNA1G ENSG00000006283.13 0.109668 0.049311 ENSG00000006283
MIIP ENSG00000116691.6 0.230577 0.063795 ENSG00000116691
CD33 ENSG00000105383.10 0.119576 0.057052 ENSG00000105383
RPSA ENSG00000168028.9 0.482914 0.058625 ENSG00000168028
UPK3B ENSG00000243566.2 0.580995 0.053839 ENSG00000243566
THSD7B ENSG00000144229.7 0.128257 0.054508 ENSG00000144229
ACBD7 ENSG00000176244.6 0.115592 0.053095 ENSG00000176244
WDR60 ENSG00000126870.11 0.52198 0.06406 ENSG00000126870
C6orf164 ENSG00000203871.3 0.459308 0.067291 ENSG00000203871
STIL ENSG00000123473.11 0.121358 0.049116 ENSG00000123473
ENAH ENSG00000154380.11 0.079256 0.039263 ENSG00000154380
FBXL22 ENSG00000197361.5 0.102686 0.043774 ENSG00000197361
B3GNT3 ENSG00000179913.6 0.184641 0.063221 ENSG00000179913
ALG1L ENSG00000189366.5 0.584951 0.053006 ENSG00000189366
QRFPR ENSG00000186867.6 0.399676 0.074065 ENSG00000186867
OR7C1 ENSG00000127530.2 0.17034 0.059668 ENSG00000127530
CUBN ENSG00000107611.10 0.365432 0.064906 ENSG00000107611
CNOT1 ENSG00000125107.12 0.126802 0.054455 ENSG00000125107
LRRFIP2 ENSG00000093167.13 0.090905 0.040873 ENSG00000093167
NBPF20 ENSG00000203832.6 0.140433 0.064603 ENSG00000203832
TMPRSS9 ENSG00000178297.8 0.244129 0.067086 ENSG00000178297
RBL2 ENSG00000103479.10 0.514942 0.05286 ENSG00000103479
TTC24 ENSG00000187862.6 0.117922 0.049945 ENSG00000187862
LILRA1 ENSG00000104974.6 0.107161 0.050923 ENSG00000104974
DDO ENSG00000203797.4 0.434564 0.063429 ENSG00000203797
PPP2R2B ENSG00000156475.14 0.112001 0.048728 ENSG00000156475
NOSIP ENSG00000142546.9 0.108291 0.053926 ENSG00000142546
DNTTIP2 ENSG00000067334.9 0.093211 0.043754 ENSG00000067334
SLC35G1 ENSG00000176273.10 0.284438 0.06353 ENSG00000176273
SPG21 ENSG00000090487.6 0.56128 0.059079 ENSG00000090487
NDUFAF1 ENSG00000137806.4 0.149098 0.060209 ENSG00000137806
WDR86 ENSG00000187260.11 0.332491 0.071639 ENSG00000187260
BMPR1A ENSG00000107779.6 0.240228 0.056455 ENSG00000107779
SPATA32 ENSG00000184361.8 0.237713 0.066462 ENSG00000184361
DCXR ENSG00000169738.3 0.119693 0.052255 ENSG00000169738
SULT1A2 ENSG00000197165.6 0.393561 0.067683 ENSG00000197165
RCN1 ENSG00000049449.4 0.286553 0.065445 ENSG00000049449
FSTL4 ENSG00000053108.12 0.157395 0.05411 ENSG00000053108
PFDN1 ENSG00000113068.5 0.204374 0.053831 ENSG00000113068
MCM8 ENSG00000125885.9 0.466147 0.065618 ENSG00000125885
NAIP ENSG00000249437.3 0.099477 0.04526 ENSG00000249437
DYDC2 ENSG00000133665.8 0.106136 0.044729 ENSG00000133665
GINM1 ENSG00000055211.8 0.229221 0.058885 ENSG00000055211
COQ9 ENSG00000088682.9 0.180323 0.054641 ENSG00000088682
FMOD ENSG00000122176.9 0.105807 0.048229 ENSG00000122176
SERHL2 ENSG00000183569.13 0.462459 0.066309 ENSG00000183569
MAPK9 ENSG00000050748.12 0.147756 0.053207 ENSG00000050748
C19orf57 ENSG00000132016.7 0.1685 0.054805 ENSG00000132016
NODAL ENSG00000156574.5 0.282785 0.065448 ENSG00000156574
CTNS ENSG00000040531.10 0.641683 0.050344 ENSG00000040531
LDOC1L ENSG00000188636.3 0.19252 0.059825 ENSG00000188636
POGLUT1 ENSG00000163389.6 0.594269 0.055079 ENSG00000163389
MGME1 ENSG00000125871.9 0.452573 0.068907 ENSG00000125871
TRAPPC10 ENSG00000160218.8 0.100488 0.043426 ENSG00000160218
PSCA ENSG00000167653.4 0.210607 0.058403 ENSG00000167653
CCDC114 ENSG00000105479.10 0.507023 0.054787 ENSG00000105479
TOX4 ENSG00000092203.9 0.151976 0.056303 ENSG00000092203
RET ENSG00000165731.13 0.099817 0.046324 ENSG00000165731
TAC4 ENSG00000176358.10 0.166153 0.055563 ENSG00000176358
CKAP2 ENSG00000136108.10 0.451106 0.066173 ENSG00000136108
BANF1 ENSG00000175334.3 0.085195 0.040411 ENSG00000175334
IL2RA ENSG00000134460.11 0.137207 0.058155 ENSG00000134460
B4GALT4 ENSG00000121578.8 0.108415 0.049543 ENSG00000121578
RRP12 ENSG00000052749.9 0.225342 0.055321 ENSG00000052749
PCDHB7 ENSG00000113212.4 0.176636 0.058913 ENSG00000113212
SFTPD ENSG00000133661.11 0.494402 0.056391 ENSG00000133661
PPA2 ENSG00000138777.15 0.224429 0.062908 ENSG00000138777
LACTB ENSG00000103642.7 0.246307 0.059134 ENSG00000103642
TSNARE1 ENSG00000171045.10 0.380319 0.065036 ENSG00000171045
BDH2 ENSG00000164039.10 0.441086 0.064989 ENSG00000164039
ZNF623 ENSG00000183309.7 0.12979 0.060823 ENSG00000183309
NCAPG2 ENSG00000146918.15 0.158784 0.061509 ENSG00000146918
TBC1D19 ENSG00000109680.6 0.117174 0.054404 ENSG00000109680
SNX11 ENSG00000002919.10 0.245382 0.055049 ENSG00000002919
NUTM2D ENSG00000214562.9 0.203547 0.057991 ENSG00000214562
UBA6 ENSG00000033178.7 0.13436 0.047745 ENSG00000033178
ZNF660 ENSG00000144792.5 0.508079 0.059126 ENSG00000144792
LGALS8 ENSG00000116977.14 0.226457 0.063711 ENSG00000116977
PCNA ENSG00000132646.6 0.175886 0.060195 ENSG00000132646
TRMT10B ENSG00000165275.5 0.194132 0.056023 ENSG00000165275
NUCB2 ENSG00000070081.11 0.102578 0.047301 ENSG00000070081
GUCA1B ENSG00000112599.8 0.344241 0.058712 ENSG00000112599
KXD1 ENSG00000105700.6 0.139252 0.054138 ENSG00000105700
ZNF614 ENSG00000142556.14 0.108698 0.053541 ENSG00000142556
OSGEP ENSG00000092094.6 0.38839 0.061939 ENSG00000092094
HIRIP3 ENSG00000149929.11 0.132072 0.056562 ENSG00000149929
HDGFRP2 ENSG00000167674.10 0.129256 0.054897 ENSG00000167674
TNFRSF10A ENSG00000104689.5 0.350704 0.067939 ENSG00000104689
SYT5 ENSG00000129990.10 0.302067 0.069594 ENSG00000129990
C1QTNF4 ENSG00000172247.3 0.359557 0.072263 ENSG00000172247
RAD21 ENSG00000164754.8 0.181577 0.057702 ENSG00000164754
TFG ENSG00000114354.8 0.127201 0.053628 ENSG00000114354
LILRB2 ENSG00000131042.9 0.14137 0.059526 ENSG00000131042
ADAT2 ENSG00000189007.11 0.22823 0.06045 ENSG00000189007
CDC25A ENSG00000164045.7 0.345896 0.074848 ENSG00000164045
GNE ENSG00000159921.10 0.127444 0.051275 ENSG00000159921
TMEM163 ENSG00000152128.13 0.177062 0.05165 ENSG00000152128
PCDHB10 ENSG00000120324.4 0.332854 0.063222 ENSG00000120324
SLFN12 ENSG00000172123.8 0.092582 0.045282 ENSG00000172123
ZFP1 ENSG00000184517.7 0.586591 0.055351 ENSG00000184517
DNAH10 ENSG00000197653.10 0.67676 0.047937 ENSG00000197653
PRDX5 ENSG00000126432.9 0.091638 0.044574 ENSG00000126432
GPBP1L1 ENSG00000159592.6 0.086949 0.039729 ENSG00000159592
LIMD1 ENSG00000144791.5 0.411128 0.061874 ENSG00000144791
OGDHL ENSG00000197444.5 0.268868 0.064895 ENSG00000197444
ECHDC3 ENSG00000134463.10 0.562114 0.062239 ENSG00000134463
LRRC57 ENSG00000180979.5 0.206923 0.060045 ENSG00000180979
KLRC1 ENSG00000134545.9 0.107899 0.042553 ENSG00000134545
RAP2A ENSG00000125249.6 0.144707 0.053701 ENSG00000125249
GPR85 ENSG00000164604.7 0.108516 0.050822 ENSG00000164604
TSKS ENSG00000126467.6 0.286827 0.067703 ENSG00000126467
CDK11B ENSG00000248333.3 0.127556 0.045453 ENSG00000248333
RFK ENSG00000135002.7 0.163676 0.061345 ENSG00000135002
TRIAP1 ENSG00000170855.3 0.103293 0.044416 ENSG00000170855
RASA4B ENSG00000170667.9 0.280416 0.0668 ENSG00000170667
MAPK7 ENSG00000166484.15 0.10445 0.049585 ENSG00000166484
BABAM1 ENSG00000105393.11 0.122565 0.056674 ENSG00000105393
GOLGA8S ENSG00000261739.2 0.087289 0.040802 ENSG00000261739
IPO8 ENSG00000133704.5 0.321689 0.061604 ENSG00000133704
SLC5A9 ENSG00000117834.8 0.407385 0.060617 ENSG00000117834
ZNF720 ENSG00000197302.6 0.111306 0.049123 ENSG00000197302
RP11-403P17.5 ENSG00000260851.2 0.197563 0.059804 ENSG00000260851
GTPBP8 ENSG00000163607.10 0.143743 0.050817 ENSG00000163607
TICAM1 ENSG00000127666.8 0.12417 0.060629 ENSG00000127666
ZNF93 ENSG00000184635.9 0.104008 0.049259 ENSG00000184635
MIA3 ENSG00000154305.12 0.092854 0.042481 ENSG00000154305
CD2 ENSG00000116824.4 0.087041 0.041196 ENSG00000116824
CLEC18B ENSG00000140839.7 0.108939 0.052523 ENSG00000140839
VRK3 ENSG00000105053.6 0.123681 0.046569 ENSG00000105053
SLC39A10 ENSG00000196950.9 0.094114 0.042061 ENSG00000196950
C2CD2 ENSG00000157617.12 0.195125 0.067768 ENSG00000157617
RPS11 ENSG00000142534.2 0.140487 0.054831 ENSG00000142534
NCR3LG1 ENSG00000188211.4 0.145535 0.050503 ENSG00000188211
HSPBP1 ENSG00000133265.6 0.150297 0.057182 ENSG00000133265
MX1 ENSG00000157601.9 0.205037 0.063093 ENSG00000157601
NUTM2A ENSG00000184923.8 0.347583 0.071917 ENSG00000184923
ZNF611 ENSG00000213020.4 0.126201 0.056033 ENSG00000213020
TAS2R5 ENSG00000127366.4 0.212866 0.061606 ENSG00000127366
POLA2 ENSG00000014138.4 0.146859 0.052726 ENSG00000014138
MRC1L1 ENSG00000183748.4 0.291455 0.064778 ENSG00000183748
FRA10AC1 ENSG00000148690.10 0.428015 0.060957 ENSG00000148690
GSDMD ENSG00000104518.6 0.388277 0.065571 ENSG00000104518
FBN3 ENSG00000142449.8 0.155196 0.062253 ENSG00000142449
MAN2C1 ENSG00000140400.10 0.430452 0.060635 ENSG00000140400
PIGC ENSG00000135845.4 0.227148 0.059258 ENSG00000135845
PRICKLE4 ENSG00000124593.10 0.193084 0.054075 ENSG00000124593
GSTCD ENSG00000138780.10 0.093523 0.040892 ENSG00000138780
MED20 ENSG00000124641.10 0.239886 0.058837 ENSG00000124641
CLEC4M ENSG00000104938.12 0.285939 0.066029 ENSG00000104938
SENP7 ENSG00000138468.11 0.147936 0.046941 ENSG00000138468
PNKP ENSG00000039650.5 0.224615 0.066373 ENSG00000039650
TRPM4 ENSG00000130529.11 0.215948 0.067223 ENSG00000130529
HSF2 ENSG00000025156.7 0.141777 0.052794 ENSG00000025156
ADAM10 ENSG00000137845.10 0.233775 0.057181 ENSG00000137845
NMRK1 ENSG00000106733.16 0.784504 0.032457 ENSG00000106733
ARL6IP5 ENSG00000144746.6 0.186941 0.057408 ENSG00000144746
SFI1 ENSG00000198089.10 0.302986 0.0667 ENSG00000198089
TMEM99 ENSG00000167920.4 0.338504 0.066375 ENSG00000167920
MYOF ENSG00000138119.12 0.198703 0.064495 ENSG00000138119
AACS ENSG00000081760.12 0.120422 0.059667 ENSG00000081760
TIPIN ENSG00000075131.5 0.640487 0.044937 ENSG00000075131
QSER1 ENSG00000060749.10 0.13563 0.052552 ENSG00000060749
GTF2H1 ENSG00000110768.7 0.362008 0.061204 ENSG00000110768
RAB7L1 ENSG00000117280.8 0.28448 0.05834 ENSG00000117280
USP24 ENSG00000162402.8 0.180817 0.053473 ENSG00000162402
TOR4A ENSG00000198113.2 0.106641 0.052137 ENSG00000198113
GPR111 ENSG00000164393.4 0.331672 0.063441 ENSG00000164393
LDHC ENSG00000166796.7 0.860289 0.022979 ENSG00000166796
ZNF417 ENSG00000173480.6 0.353799 0.062254 ENSG00000173480
CD80 ENSG00000121594.7 0.108746 0.051059 ENSG00000121594
RNASEH2B ENSG00000136104.13 0.579179 0.058656 ENSG00000136104
ICAM5 ENSG00000105376.4 0.093493 0.045675 ENSG00000105376
NAA35 ENSG00000135040.11 0.146713 0.052483 ENSG00000135040
RPS23 ENSG00000186468.8 0.20092 0.05751 ENSG00000186468
NT5DC2 ENSG00000168268.6 0.149907 0.059602 ENSG00000168268
AP001816.1 ENSG00000254531.1 0.397268 0.064822 ENSG00000254531
HIATL2 ENSG00000196312.7 0.137315 0.060912 ENSG00000196312
PARVB ENSG00000188677.9 0.251514 0.073327 ENSG00000188677
LRRC19 ENSG00000184434.7 0.531964 0.052984 ENSG00000184434
AHI1 ENSG00000135541.16 0.460565 0.068347 ENSG00000135541
ZNF559 ENSG00000188321.9 0.147959 0.056593 ENSG00000188321
ARHGAP19 ENSG00000213390.6 0.23945 0.064316 ENSG00000213390
STEAP2 ENSG00000157214.9 0.208538 0.053565 ENSG00000157214
TUBB2B ENSG00000137285.9 0.115206 0.046611 ENSG00000137285
RNF40 ENSG00000103549.17 0.209623 0.061083 ENSG00000103549
CNTNAP1 ENSG00000108797.7 0.074741 0.037126 ENSG00000108797
MRPS9 ENSG00000135972.4 0.414057 0.057595 ENSG00000135972
MARVELD3 ENSG00000140832.5 0.108441 0.046679 ENSG00000140832
CROT ENSG00000005469.7 0.105316 0.044574 ENSG00000005469
FAM19A1 ENSG00000183662.6 0.21736 0.055441 ENSG00000183662
CYBA ENSG00000051523.6 0.143502 0.05906 ENSG00000051523
PRAM1 ENSG00000133246.7 0.220267 0.059664 ENSG00000133246
HNRNPA1L2 ENSG00000139675.10 0.105262 0.042888 ENSG00000139675
FAM60A ENSG00000139146.9 0.090334 0.040714 ENSG00000139146
REEP3 ENSG00000165476.8 0.142375 0.05051 ENSG00000165476
BHLHA15 ENSG00000180535.2 0.083411 0.039229 ENSG00000180535
EXOG ENSG00000157036.8 0.152325 0.052714 ENSG00000157036
DNM3 ENSG00000197959.9 0.097684 0.048372 ENSG00000197959
ACTR3C ENSG00000106526.6 0.40917 0.061907 ENSG00000106526
ENPEP ENSG00000138792.5 0.152058 0.054015 ENSG00000138792
CSDC2 ENSG00000172346.10 0.181005 0.059154 ENSG00000172346
GPR108 ENSG00000125734.9 0.589317 0.055804 ENSG00000125734
LRP5L ENSG00000100068.7 0.3059 0.062145 ENSG00000100068
SDCBP2 ENSG00000125775.10 0.216718 0.064731 ENSG00000125775
SGCE ENSG00000127990.11 0.168645 0.054787 ENSG00000127990
ITGB6 ENSG00000115221.6 0.416611 0.064731 ENSG00000115221
ATG10 ENSG00000152348.11 0.696487 0.042007 ENSG00000152348
FBN2 ENSG00000138829.6 0.414684 0.05997 ENSG00000138829
GALNS ENSG00000141012.8 0.209789 0.06377 ENSG00000141012
AFF1 ENSG00000172493.16 0.109596 0.048575 ENSG00000172493
SLC35F3 ENSG00000183780.8 0.099766 0.049447 ENSG00000183780
AC010536.1 ENSG00000226180.2 0.440631 0.067967 ENSG00000226180
